Timestamp,Do you prefer cats or dogs?,What is your age?
3/27/2023 21:52:42,Cat,40
3/27/2023 21:55:31,Dog,39
3/27/2023 21:57:03,Cat,42
3/27/2023 21:59:24,Cat,51
3/27/2023 22:13:40,Dog,45
3/27/2023 22:58:17,Dog,58
3/28/2023 4:11:51,Dog,44
3/28/2023 7:16:26,Dog,30
3/28/2023 8:47:55,Dog,42
3/28/2023 9:09:56,Dog,38
3/28/2023 10:12:17,Dog,25
3/28/2023 10:31:41,Cat,65
3/28/2023 14:34:10,Cat,38
3/28/2023 15:13:25,Dog,46
3/28/2023 17:48:02,Cat,57
3/28/2023 17:48:56,Dog,66
3/28/2023 17:51:22,Cat,41
3/28/2023 17:53:32,Dog,46
3/28/2023 17:53:47,Dog,45
3/28/2023 17:53:52,Dog,44
3/28/2023 17:55:07,Cat,45
3/28/2023 18:10:07,Dog,9
3/28/2023 18:10:22,Dog,11
3/28/2023 18:11:45,Dog,45
3/28/2023 18:11:59,Dog,11
3/28/2023 18:24:46,Dog,28
3/28/2023 18:26:00,Cat,55
3/28/2023 18:54:09,Dog,55
3/28/2023 19:12:35,Dog,55
3/29/2023 3:55:47,Dog,56
3/29/2023 3:57:04,Dog,56
3/29/2023 7:42:55,Dog,42
3/29/2023 8:00:24,Cat,39
3/29/2023 10:35:59,Dog,71
3/29/2023 10:39:36,Dog,28
3/29/2023 11:00:44,Dog,33
3/29/2023 11:09:06,Cat,21
3/29/2023 11:09:16,Cat,26
3/29/2023 11:34:42,Cat,25
3/29/2023 13:52:26,Cat,27
3/29/2023 16:00:47,Dog,39
3/29/2023 16:03:02,Dog,21
3/29/2023 17:51:32,Dog,23
3/29/2023 19:20:19,Dog,37
3/29/2023 21:37:56,Cat,22
3/29/2023 21:59:21,Dog,44
3/29/2023 22:00:23,Dog,41
3/30/2023 14:38:35,Dog,39
4/1/2023 11:15:36,Dog,12
4/1/2023 11:16:36,Dog,15
4/1/2023 11:16:57,Cat,30
4/1/2023 11:17:06,Dog,30
4/1/2023 11:17:19,Cat,33
4/1/2023 11:17:26,Cat,14
4/1/2023 11:17:34,Dog,40
4/1/2023 11:17:48,Dog,50
4/1/2023 11:17:57,Dog,20
4/1/2023 11:18:09,Cat,20
4/1/2023 11:18:49,Cat,12
4/1/2023 11:19:23,Dog,15
4/1/2023 11:19:28,Cat,40
4/1/2023 11:19:35,Cat,8
4/1/2023 11:19:42,Cat,10
4/1/2023 11:19:49,Cat,35
4/1/2023 11:19:56,Cat,48
4/1/2023 11:20:02,Cat,50
4/1/2023 11:20:11,Cat,37
4/1/2023 11:20:32,Cat,40
4/1/2023 11:21:39,Cat,39
4/1/2023 11:21:49,Cat,43
4/1/2023 11:22:25,Dog,29
4/1/2023 11:22:33,Cat,12
4/1/2023 11:22:41,Cat,67
4/1/2023 11:34:17,Dog,33
4/1/2023 11:34:31,Dog,44
4/1/2023 11:34:38,Dog,55
4/1/2023 11:34:48,Cat,98
4/1/2023 11:34:58,Dog,19
4/1/2023 11:35:08,Cat,45
4/1/2023 11:35:17,Cat,48
4/1/2023 11:35:29,Dog,29
4/1/2023 11:35:37,Dog,10
4/1/2023 11:35:48,Cat,12
4/1/2023 11:35:58,Dog,40
4/1/2023 11:36:10,Dog,50
4/1/2023 11:36:16,Cat,50
4/1/2023 11:36:23,Dog,14
4/1/2023 11:45:09,Cat,60
4/1/2023 11:45:18,Dog,45
4/1/2023 11:45:30,Cat,49
4/1/2023 11:45:36,Cat,40
4/1/2023 11:45:45,Dog,20
4/1/2023 11:45:54,Cat,10
4/1/2023 12:18:33,Dog,41
4/1/2023 12:18:39,Cat,41
4/1/2023 12:18:49,Cat,40
4/1/2023 12:18:57,Cat,80
4/1/2023 12:19:05,Cat,80
4/1/2023 12:19:13,Cat,70
4/1/2023 12:39:03,Dog,15
4/1/2023 12:39:11,Cat,22
4/1/2023 12:39:20,Dog,15
4/1/2023 12:39:29,Cat,40